Title,Document Length,Abstract,Key Topics,Universities,Source Link
Analysis of the Reliability of a Biofuel Production Plant from Waste Cooking Oil,5,"The article considers the issue of increasing the structural reliability of a biofuel production plant. A review of the existing basic technological schemes of the biofuel production plant has been carried out. The main structural elements are determined and a functional diagram is constructed. Processed cooking oil was chosen as the input raw material. A structural analysis of the reliability of each element and the entire system as a whole was carried out. The least reliable elements are determined, options for improving the overall reliability of the installation are proposed.","[""The Biofuel Production Plant"", ""A Biofuel Production Plant"", ""The Least Reliable Elements"", ""The Input Raw Material"", ""The Structural Reliability""]","[""Russia Reshetnev Siberian State University of Science and Technology"", ""Russia Bauman Moscow State Technical University"", ""g Siberian Federal University""]",https://arxiv.org/pdf/2301.07956
Using evolutionary machine learning to characterize and optimize co-pyrolysis of biomass feedstocks and polymeric wastes,45,"Co-pyrolysis of biomass feedstocks with polymeric wastes is a promising strategy for improving the quantity and quality parameters of the resulting liquid fuel. Numerous experimental measurements are typically conducted to find the optimal operating conditions. However, performing co-pyrolysis experiments is highly challenging due to the need for costly and lengthy procedures. Machine learning (ML) provides capabilities to cope with such issues by leveraging on existing data. This work aims to introduce an evolutionary ML approach to quantify the (by)products of the biomass-polymer co-pyrolysis process. A comprehensive dataset covering various biomass-polymer mixtures under a broad range of process conditions is compiled from the qualified literature. The database was subjected to statistical analysis and mechanistic discussion. The input features are constructed using an innovative approach to reflect the physics of the process. The constructed features are subjected to principal component analysis to reduce their dimensionality. The obtained scores are introduced into six ML models. Gaussian process regression model tuned by particle swarm optimization algorithm presents better prediction performance (R2 > 0.9, MAE < 0.03, and RMSE < 0.06) than other developed models. The multi-objective particle swarm optimization algorithm successfully finds optimal independent parameters.","[""The Resulting Liquid Fuel"", ""An Evolutionary Ml Approach"", ""Various BiomassPolymer Mixtures"", ""The Quantity And Quality Parameters"", ""The Optimal Operating Conditions""]","[""Henan Agricultural University"", ""Torrens University Australia"", ""University of Tehran""]",https://arxiv.org/pdf/2305.16350
"The impact of external uncertainties on the extreme return connectedness between food, fossil energy, and clean energy markets",30,"We investigate the extreme return connectedness between the food, fossil energy, and clean energy markets using the quantile connectedness approach, which combines the traditional spillover index with quantile regression. Our results show that return connectedness at the tails (57.91% for the right tail and 61.47% for the left tail) is significantly higher than at the median (23.02%). Further-more, dynamic analysis reveals that connectedness fluctuates over time, with notable increases during extreme events. Among these markets, fossil energy market consistently acts as the net receiver, while clean energy market primarily serves as the net transmitter. Additionally, we use linear and nonlinear ARDL models to examine the role of external uncertainties on return connectedness. We find that climate policy uncertainty (CPU), geopolitical risk (GPR), and the COVID-19pandemic significantly impact median connectedness, while economic policy uncertainty (EPU),GPR, and trade policy uncertainty (TPU) are crucial drivers of extreme connectedness. Our findings provide valuable insights for investors and policymakers on risk spillover effects between food and energy markets under both normal and extreme market conditions.","[""Food And Energy Markets"", ""Both Normal And Extreme Market Conditions"", ""The CovidPandemic Significantly Impact Median Connectedness"", ""Clean Energy Market"", ""Clean Energy Markets""]","[""East China University of Science and Technology"", ""Hunan University of Science and Technology""]",https://arxiv.org/pdf/2503.06603
Subjective-Objective Median-based Importance Technique (SOMIT) to Aid Multi-Criteria Renewable Energy Evaluation,42,"Accelerating the renewable energy transition requires informed decision-making that accounts for the diverse financial, technical, environmental, and social trade-offs across different renewable energy technologies. A critical step in this multi-criteria decision-making (MCDM) process is the determination of appropriate criteria weights. However, deriving these weights often solely involves either subjective assessment from decision-makers or objective weighting methods, each of which has limitations in terms of cognitive burden, potential bias, and insufficient contextual relevance. This study proposes the subjective-objective median-based importance technique (SOMIT), a novel hybrid approach for determining criteria weights in MCDM. By tailoring SOMIT to renewable energy evaluation, the method directly supports applied energy system planning, policy analysis, and technology prioritization under carbon neutrality goals. The practical utility of SOMIT is demonstrated through two MCDM case studies on renewable energy decision-making in India and Saudi Arabia. Using the derived weights from SOMIT, the TOPSIS method ranks the renewable energy alternatives, with solar power achieving the highest performance scores in both cases. The main contributions of this work are five-fold: 1) the proposed SOMIT reduces the number of required subjective comparisons from the conventional quadratic order to a linear order; 2) SOMIT is more robust to outliers in the alternatives-criteria matrix (ACM); 3) SOMIT balances subjective expert knowledge with objective data-driven insights, thereby mitigating bias; 4) SOMIT is inherently modular, allowing both its individual parts and the complete approach to be seamlessly coupled with a wide range of MCDM methods commonly applied in energy systems and policy analysis; 5) a dedicated Python library, pysomit, is developed for SOMIT.","[""Energy Evaluation"", ""The Diverse Financial Technical Environmental And Social TradeOffs"", ""Applied Energy System Planning"", ""Criteria"", ""Objective DataDriven Insights""]","[""Singapore University of Social Sciences""]",https://arxiv.org/pdf/2601.03182
Accounting for carbon capture solvent cost and energy demand in the energy system,12,"Technical carbon dioxide removal through bioenergy with carbon capture or direct air capture plays a role in virtually all climate mitigation scenarios. Both of these technologies rely on the use of chemical solvents or sorbents in order to capture CO$_2$. Lately, concerns have surfaced about the cost and energy implications of producing solvents and sorbents at scale. Here, we show that the production of chemical sorbents could have significant implications on system cost, energy use and material use depending on how much they are consumed. Among the three chemical sorbents investigated, namely monoethanolamine (MEA) for post-combustion carbon capture, potassium hydroxide for liquid direct air capture and polyethylenimine-silica (PEI) for solid sorbent direct air capture, we found that the production of the compound for solid sorbent direct air capture represent the highest uncertainties for the system. At the high range of solid sorbent consumption, total energy system cost increased by up to 6.5\%, while effects for other options were small to negligible. Scale-up of material production capacities was also substantial for MEA and PEI. Implications of sorbent consumption for carbon capture technologies should be considered more thoroughly in scenarios relying on direct air capture using a solid sorbent.","[""The Cost And Energy Implications"", ""Total Energy System Cost"", ""The System"", ""Carbon Capture Technologies"", ""System Cost""]","[""Chalmers University of Technology""]",https://arxiv.org/pdf/2411.09520
Hydrogen in Aviation: Evaluating the Feasibility and Benefits of a Green Fuel Alternative,5,"Growing concerns regarding environmental health have highlighted the aviation industry's impact and potential mitigation strategies. Previous research has indicated hydrogen's significant potential for reducing the industry's environmental impact, yet implementation challenges remain. Through analysis of light aircraft and military applications, we demonstrate that hydrogen-based systems can achieve performance metrics approaching those of traditional fuels while reducing emissions by up to 74.7%. Our findings show that hydrogen's superior energy-to-mass ratio (120 MJ/kg versus 43 MJ/kg for jet fuel) makes it particularly advantageous for aviation applications compared to battery-electric alternatives. Primary implementation challenges involve cryogenic storage systems (-253°C), tank placement optimization, and fueling infrastructure development. The observed efficiency penalties of only 2.23% in military applications suggest hydrogen's viability as a sustainable aviation fuel alternative.","[""The IndustryS Environmental Impact"", ""The Aviation IndustryS Impact"", ""A Sustainable Aviation Fuel Alternative"", ""The Observed Efficiency Penalties"", ""HydrogenS Significant Potential""]","[""Stanford University""]",https://arxiv.org/pdf/2412.15137
Energy recovery from Ginkgo biloba urban pruning wastes: pyrolysis optimization and fuel property enhancement for high grade charcoal productions,15,"Ginkgo biloba trees are widely planted in urban areas of developed countries for their resilience, longevity and aesthetic appeal. Annual pruning to control tree size, shape and interference with traffic and pedestrians generates large volumes of unutilized Ginkgo biomass. This study aimed to valorize these pruning residues into charcoal by optimizing pyrolysis conditions and evaluating its fuel properties. The pyrolysis experiment was conducted at 400 to 600 degrees Celsius, after oven drying pretreatment. The mass yield of charcoal was found to vary from 27.33 to 32.05 percent and the approximate volume shrinkage was found to be 41.19 to 49.97 percent. The fuel properties of the charcoals were evaluated using the moisture absorption test, proximate and ultimate analysis, thermogravimetry, calorimetry and inductively coupled plasma optical emission spectrometry. The calorific value improved from 20.76 to 34.26 MJ per kg with energy yield up to 46.75 percent. Charcoal exhibited superior thermal stability and better combustion performance. The results revealed satisfactory properties compared with other biomass, coal and biochar standards. The product complied with first grade standards at 550 and 600 degrees Celsius and second grade wood charcoal standards at other temperatures. However, higher concentrations of some heavy metals like Zn indicate the need for pretreatment and further research on copyrolysis for resource optimization. This study highlights the dual benefits of waste management and renewable energy, providing insights for urban planning and policymaking.","[""Other Biomass Coal And Biochar Standards"", ""Better Combustion Performance"", ""And  Degrees Celsius And Second Grade Wood Charcoal Standards"", ""The Pyrolysis Experiment"", ""Energy Yield""]","[""Agriculture and Forestry University"", ""Kangwon National University""]",https://arxiv.org/pdf/2507.20683
Optimal Design and Flexible Operation of a Fully Electrified Biodiesel Production Process,25,"The flexible operation of electrified chemical processes, powered by renewable electricity, offers economic and ecological incentives, paving the way for a more sustainable chemical industry. However, this requires a departure from the traditional steady-state operation, posing a challenge to process design and operation. We propose an approach for flexible biodiesel production by utilizing intermediate and final buffer tanks. These tanks serve to decouple the dynamics between different process unit operations. We investigate the flexibility of three different process configurations and compare the outcomes of their dynamic optimization strategies with those of a steady-state operation, considering a typical demand-side response scenario. For all strategies, we employ local gradient-based optimization and solve them using our open-source optimization framework DyOS. Our findings indicate that by incorporating intermediate buffer tanks, we fully exploit the process flexibility potential, leading to total energy savings of up to 29%. We also propose an implementation based on distributed optimization problems, yielding similar savings while significantly reducing computational costs by over 10-fold and improving convergence, thus paving the way toward online application. Overall, this study highlights the potential benefits of incorporating buffer tanks and optimization strategies in the flexible operation of electrified chemical processes, even those initially designed solely for steady-state operation.","[""A SteadyState Operation"", ""Three Different Process Configurations"", ""The Flexible Operation"", ""Different Process Unit Operations"", ""Flexible Biodiesel Production""]","[""RWTH Aachen University""]",https://arxiv.org/pdf/2308.09537
