File Name,File Name Refined,Google Scraped Title,Google Scraped Refined Title,Institution,Page Count,Document Type,Document Snippet,Key Topics,Outlier Insights,Timeline,Source Link,top_entities,top_entities_verbs,top_words_and_frequencies
619cb865efde9Electrical%20Engineering%20B.Tech.-compressed.pdf,619Cb865Efde9Electrical Engineering B.Tech. Compressed,Course Structure & Syllabus,Course Structure & Syllabus,hpuniv.ac.in,108,Student Helping Document,"1 
 
University Institute of Technology  
(UIT) 
Silver Wood Estate, H. P. University, Shimla-171005  
(NAAC Accredited “A-Grade” University) ","[""Networks"", ""Technology"", ""Microprocessor Architecture"", ""Transmission Lines"", ""Text Books Electric Motor Drives""]","[""Solutions"", ""H V Equipment"", ""Suspension Insulators String Efficiency Methods""]","[""Pages 34, 99 : Networks"", ""Pages 1 : Technology"", ""Pages 55, 59 : Microprocessor Architecture"", ""Pages 68, 88 : Transmission Lines"", ""Pages 10, 16, 48, 96-97 : Text Books Electric Motor Drives""]",https://www.hpuniv.ac.in/upload/syllabus/619cb865efde9Electrical%20Engineering%20B.Tech.-compressed.pdf,"[""Title L"", ""The Course Network Analysis"", ""The Course Microprocessor Architecture"", ""The Course Protection"", ""Co1 Identify"", ""The Course Transducers"", ""1 University Institute Of Technology Uit"", ""Files Concepts"", ""The Course Communication Professional Skills"", ""Electric Machines Electrical Machines""]","[""identify"", ""represent""]","{""Course"": 0.2246, ""Code"": 0.0781, ""Lab"": 0.0293, ""Electrical"": 0.0176, ""Systems"": 0.0156, ""Engineering"": 0.0137, ""Outcome"": 0.0137, ""Control"": 0.0137, ""Electronics"": 0.0117, ""Communication"": 0.0098}"
UG-IEE-Syllabus_valid-for-2018-22-and-2019-23-batches.pdf,Ug Iee Syllabus Valid For 2018 22 And 2019 23 Batches,Bachelor of Instrumentation and Electronics Engineering ( ...,Bachelor Of Instrumentation And Electronics Engineering (,jadavpuruniversity.in,85,Student Helping Document," 
 
Bachelor of Instrumentation and Electronics Engineering 
(Syllabus) 
 
 ","[""Warren Engineering"", ""Space Technology L T P C Guide"", ""Rate Conversion Implementation"", ""Analysis"", ""Evaluation""]","[""Embedded Real Time""]","[""Pages 1-2, 23 : Warren Engineering"", ""Pages 77-78 : Space Technology L T P C Guide"", ""Pages 25 : Rate Conversion Implementation"", ""Pages 79-80 : Analysis"", ""Pages 61, 65, 71 : Evaluation""]",https://jadavpuruniversity.in/storage/2023/09/UG-IEE-Syllabus_valid-for-2018-22-and-2019-23-batches.pdf,"[""The Board Of Studies On Date Of Approval"", ""Instrumentation L"", ""The Academic Council Strong Course Code"", ""Warren Engineering"", ""Jones Bartlett"", ""Circuit Theory L"", ""The Board Of Studies On Date Of Approval Course Code Fundamentals Of Instrumentation L"", ""John G Webster"", ""Electronic Circuits L"", ""Digital Electronics L""]","[""recommend""]","{""Course"": 0.0849, ""Code"": 0.0817, ""L"": 0.0801, ""T"": 0.0801, ""P"": 0.0801, ""C"": 0.0721, ""Date"": 0.0208, ""Approval"": 0.0208, ""Laboratory"": 0.0192, ""Instrumentation"": 0.0176}"
BTECHIT1SEMSYLLABUS.PDF,Btechit1Semsyllabus,Syllabus 1st Year 1st Semester (Common to all Branches),Syllabus 1St Year 1St Semester (Common To All Branches),iul.ac.in,29,Student Helping Document,"Integral University
STUDY & EVALUATION SCHEME
B.Tech. First Year (Common to all Branches)
                                                
          Year 1st, Semester I
S. No","[""Structures"", ""Physics Unit"", ""Iron Content Electrical"", ""Engineering Lab Ien List"", ""Process Zeolites Environmental Studies""]","[""Salivary Amylase Computer Programming Lab L T P"", ""Integral University Study Evaluation"", ""Operation""]","[""Pages 15 : Structures"", ""Pages 2-3, 19, 21 : Physics Unit"", ""Pages 10, 22-23 : Iron Content Electrical"", ""Pages 12, 24-26, 28 : Engineering Lab Ien List"", ""Pages 4, 6, 8 : Process Zeolites Environmental Studies""]",https://www.iul.ac.in/DEPARTMENTALDATA/IT/BTECHIT1SEMSYLLABUS.PDF,"[""Integral University Study Evaluation Scheme First Year Common"", ""Chemistry L"", ""Zeolites Environmental Studies Multidisciplinary"", ""Environmental Science And Natural Resources Grassland Ecosystem Desert Ecosystem Aquatic"", ""Enforcement Of Environmental Legislation Public Ima"", ""Network Theorems Circuit"", ""Single Phase Induction Motor Principle"", ""Introduction Normal Computer Programming Ics Ics"", ""Application"", ""Electronics L""]","[""scheme"", ""concept""]","{""L"": 0.0667, ""T"": 0.0667, ""P"": 0.0667, ""Basic"": 0.0303, ""Engineering"": 0.0303, ""Introduction"": 0.0242, ""Lab"": 0.0242, ""Unit"": 0.0182, ""Manufacturing"": 0.0182, ""Study"": 0.0121}"
IS722-0-Syllabus.pdf,Is722 0 Syllabus,IS722 - Systems Engineering Syllabus - Dr. Mustafa Değerli,Is722 - Systems Engineering Syllabus - Dr. Mustafa Değerli,users.metu.edu.tr,33,Student Helping Document,"IS722 - Systems Engineering 
Syllabus
Dr. Mustafa Değerli
Graduate School of Informatics, Middle East Technical University
Course Information
• Course Code: 9010722","[""System"", ""Mandatory Additional Rules Notes Infrastructure"", ""Technical Reviews"", ""Tailoring Application Considerations"", ""Comprehensive Understanding""]",[],"[""Pages 3, 6, 8, 13 : System"", ""Pages 28-30 : Mandatory Additional Rules Notes Infrastructure"", ""Pages 7, 16 : Technical Reviews"", ""Pages 18 : Tailoring Application Considerations"", ""Pages 5 : Comprehensive Understanding""]",https://users.metu.edu.tr/degerli/IS722/IS722-0-Syllabus.pdf,"[""Is722 Systems Engineering"", ""Mustafa Graduate School Of Informatics Course Information Course Code 9010722"", ""Lms Course Website Learning Management System Is722"", ""Dr Mustafa Linkedin"", ""Ical Dyxzmvkzdcyoge0Owjmmji3Yzrjzwmwm2M1Nthmyji4Mjqyotjm Otg5Yjmwmjgzmgy1Zkbncm91Cc5Jywxlbmrhci5Nb29Nbguuy29"", ""T Is722 Systems Engineering Syllabus"", ""System Life Cycle Schedule"", ""Audits Asr Srr Schedule"", ""Systems And Software Engineering Mbse Mbse Schedule"", ""Practice Systems Engineering""]",[],"{""Systems"": 0.0837, ""Engineering"": 0.0837, ""Schedule"": 0.0558, ""Course"": 0.0372, ""Syllabus"": 0.0326, ""System"": 0.0233, ""Project"": 0.0233, ""Dr"": 0.0186, ""Mustafa"": 0.0186, ""March"": 0.0186}"
Syllabus_UG_Electrical.pdf,Syllabus Ug Electrical,Syllabus of Various Courses of Electrical Engineering,Syllabus Of Various Courses Of Electrical Engineering,pec.ac.in,195,Student Helping Document,"Syllabus of Various Courses of Electrical Engineering 
 
1. Department Core Courses (DCCs) 
 
Course Name 
: ","[""Programmable Logic Controllers"", ""Neural Networks"", ""L Configuration Performance Analysis"", ""Efficiency"", ""Operation""]","[""Process"", ""Synchronous Sequential Circuits"", ""Experiments""]","[""Pages 36, 175, 188 : Programmable Logic Controllers"", ""Pages 30, 179 : Neural Networks"", ""Pages 67, 95, 131, 168, 186 : L Configuration Performance Analysis"", ""Pages 12 : Efficiency"", ""Pages 29, 83, 103, 140 : Operation""]",https://pec.ac.in/sites/default/files/2024-10/Syllabus_UG_Electrical.pdf,"[""Advanced Power Electronics"", ""Digital Applications"", ""Industrial Power Engineering"", ""Textbook Of Electric Power Distribution University Science Press"", ""Advanced Technologies"", ""Digital Control Systems"", ""Scada"", ""Renewable Energy System Course Code"", ""Power System"", ""Control Of Power Electronic Converters Course Principles""]","[""book""]","{""Course"": 0.1842, ""Code"": 0.0839, ""Credits"": 0.0633, ""Power"": 0.0436, ""Systems"": 0.0271, ""Sr"": 0.0263, ""Year"": 0.0263, ""Reprint"": 0.0238, ""Control"": 0.0238, ""Books"": 0.023}"
course-curriculum_5.pdf,Course Curriculum 5,Syllabus of Courses Offered in 1st Year B.Sc. Engineering,Syllabus Of Courses Offered In 1St Year B.Sc. Engineering,ce.ruet.ac.bd,43,Student Helping Document,62,"[""Navigation Navigational Channels Survey"", ""Steel Truss Computer"", ""Hydrology Irrigation Flood Control"", ""Theoretical Historical Development"", ""Quantity Estimation Construction Site""]",[],"[""Pages 42 : Navigation Navigational Channels Survey"", ""Pages 17, 20 : Steel Truss Computer"", ""Pages 27 : Hydrology Irrigation Flood Control"", ""Pages 16, 41 : Theoretical Historical Development"", ""Pages 40 : Quantity Estimation Construction Site""]",https://www.ce.ruet.ac.bd/public/storage/pages/course-curriculum_5.pdf,"[""Ce 2121 Fluid Lecture"", ""Credit Fluid"", ""Credit Vector"", ""Ce 4112 Structural Analysis Design Sessional 3"", ""Project Planning Construction Management"", ""Credit Experimental""]",[],"{""Course"": 0.0882, ""Semester"": 0.0588, ""Ce"": 0.0588, ""Lecture"": 0.0515, ""Credit"": 0.0515, ""Sessional"": 0.0478, ""Code"": 0.0404, ""Title"": 0.0404, ""Theory"": 0.0404, ""Engineering"": 0.0257}"
